"adat_SINs" "RedCap_SINs"
"180" "STEP1159-F-V1-HT1" "STEP1159-V1-F-HT1"
"181" "STEP2032-F-V1-L-HT1" "STEP2032-V1-F-L-HT1"
"182" "STEP2582-F-V1-R-HT1" "STEP2582-V1-F-R-HT1"
"183" "STEP1079-F-V1-HT1" "STEP1079-V1-F-HT1"
"184" "STEP1379-F-V1-HT1" "STEP1379-V1-F-HT1"
"185" "STEP1965-F-V10-HT1" "STEP1965-V10-F-HT1"
"186" "STEP1185-F-V1-HT1" "STEP1185-V1-F-HT1"
"187" "STEP2017-F-V1-L-HT1" "STEP2017-V1-F-L-HT1"
"188" "STEP1133-F-V1-HT1" "STEP1133-V1-F-HT1"
"189" "STEP1301-F-V1-HT1" "STEP1301-V1-F-HT1"
"191" "STEP2225-F-V1-L-HT1" "STEP2225-V1-F-L-HT1"
"192" "STEP1633-F-V1-HT1" "STEP1633-V1-F-HT1"
"193" "STEP1697-F-V1-HT1" "STEP1697-V1-F-HT1"
"194" "STEP1983-F-V1-HT1" "STEP1983-V1-F-HT1"
"195" "STEP2436-F-V3-R-HT1" "STEP2436-V3-F-R-HT1"
"196" "STEP1337-F-V1-HT1" "STEP1337-V1-F-HT1"
"197" "STEP2679-F-V1-L-HT1" "STEP2679-V1-F-L-HT1"
"198" "STEP2172-F-V1-L-HT1" "STEP2172-V1-F-L-HT1"
"199" "STEP2473-F-V1-R-HT1" "STEP2473-V1-F-R-HT1"
"201" "STEP1972-F-V1-HT1" "STEP1972-V1-F-HT1"
"202" "STEP2094-F-V1-R-HT1" "STEP2094-V1-F-R-HT1"
"203" "STEP2112-F-V1-L-HT1" "STEP2112-V1-F-L-HT1"
"204" "STEP1035-F-V1-HT1" "STEP1035-V1-F-HT1"
"205" "STEP1562-F-V1-HT1" "STEP1562-V1-F-HT1"
"206" "STEP2051-F-V1-HT1" "STEP2051-V1-F-HT1"
"208" "STEP2484-F-V6-L-HT1" "STEP2484-V6-F-L-HT1"
"210" "STEP1265-F-V1-HT1" "STEP1265-V1-F-HT1"
"211" "STEP2490-F-V6-R-HT1" "STEP2490-V6-F-R-HT1"
"212" "STEP1289-F-V1-HT1" "STEP1289-V1-F-HT1"
"213" "STEP1577-F-V1-HT1" "STEP1577-V1-F-HT1"
"214" "STEP1352-F-V1-HT1" "STEP1352-V1-F-HT1"
"215" "STEP1729-F-V1-HT1" "STEP1729-V1-F-HT1"
"216" "STEP1496-F-V1-HT1" "STEP1496-V1-F-HT1"
"217" "STEP1343-F-V1-HT1" "STEP1343-V1-F-HT1"
"218" "STEP2338-F-V1-R-HT1" "STEP2338-V1-F-R-HT1"
"219" "STEP1892-F-V1-HT1-UN" "STEP1892-V1-F-HT1-UN"
"220" "STEP2008-F-V1-R-HT1" "STEP2008-V1-F-R-HT1"
"221" "STEP1897-F-V1-HT1" "STEP1897-V1-F-HT1"
"222" "STEP1081-F-V1-HT1" "STEP1081-V1-F-HT1"
"223" "STEP1385-F-V1-HT1" "STEP1385-V1-F-HT1"
"224" "STEP2015-F-V1-L-HT1" "STEP2015-V1-F-L-HT1"
"226" "STEP2456-F-V1-R-HT1" "STEP2456-V1-F-R-HT1"
"227" "STEP1206-F-V1-HT1" "STEP1206-V1-F-HT1"
"228" "STEP1533-F-V1-HT1" "STEP1533-V1-F-HT1"
"229" "STEP1803-F-V1-HT1" "STEP1803-V1-F-HT1"
"230" "STEP1140-F-V1-HT1" "STEP1140-V1-F-HT1"
"231" "STEP1492-F-V1-HT1" "STEP1492-V1-F-HT1"
"232" "STEP1882-F-V1-HT1-SP" "STEP1882-V1-F-HT1-SP"
"233" "STEP2154-F-V1-L-HT1" "STEP2154-V1-F-L-HT1"
"234" "STEP1736-F-V1-HT1" "STEP1736-V1-F-HT1"
"235" "STEP1594-F-V1-HT1" "STEP1594-V1-F-HT1"
"236" "STEP2279-F-V1-L-HT1" "STEP2279-V1-F-L-HT1"
"237" "STEP1487-F-V1-HT1" "STEP1487-V1-F-HT1"
"238" "STEP1922-F-V1-HT1" "STEP1922-V1-F-HT1"
"241" "STEP1930-F-V1-HT1" "STEP1930-V1-F-HT1"
"242" "STEP1648-F-V1-HT1" "STEP1648-V1-F-HT1"
"243" "STEP2280-F-V1-L-HT1" "STEP2280-V1-F-L-HT1"
"244" "STEP1502-F-V1-HT1" "STEP1502-V1-F-HT1"
"246" "STEP2318-F-V1-L-HT1" "STEP2318-V1-F-L-HT1"
"248" "STEP1907-F-V1-HT1" "STEP1907-V1-F-HT1"
"249" "STEP1259-F-V1-HT1" "STEP1259-V1-F-HT1"
"250" "STEP1267-F-V1-HT1" "STEP1267-V1-F-HT1"
"251" "STEP2021-F-V1-R-HT1" "STEP2021-V1-F-R-HT1"
"252" "STEP2103-F-V9-L-HT1" "STEP2103-V9-F-L-HT1"
"253" "STEP1131-F-V1-HT1" "STEP1131-V1-F-HT1"
"254" "STEP1536-F-V1-HT1" "STEP1536-V1-F-HT1"
"255" "STEP1387-F-V1-HT1" "STEP1387-V1-F-HT1"
"256" "STEP1549-F-V1-HT1" "STEP1549-V1-F-HT1"
"257" "STEP1554-F-V1-HT1" "STEP1554-V1-F-HT1"
"258" "STEP2485-F-V8-R-HT1" "STEP2485-V8-F-R-HT1"
"259" "STEP2260-F-V1-R-HT1" "STEP2260-V1-F-R-HT1"
